epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,129.337,0.55013,0.46938,0.89356,0.99813,1,0.995,0.90346,0.50686,0.33925,0.82314,0.005644,0.005644,0.005644
46,130.528,0.5405,0.46455,0.89859,0.99781,1,0.995,0.88702,0.52294,0.33428,0.82653,0.005545,0.005545,0.005545
47,131.638,0.49498,0.44651,0.88393,0.99787,1,0.995,0.8751,0.51849,0.34333,0.8295,0.005446,0.005446,0.005446
48,132.695,0.52214,0.43954,0.89164,0.99805,1,0.995,0.87003,0.53261,0.34188,0.83428,0.005347,0.005347,0.005347
49,133.76,0.46753,0.4501,0.88906,0.99815,1,0.995,0.87042,0.53178,0.35545,0.82604,0.005248,0.005248,0.005248
50,134.876,0.49433,0.43593,0.8732,0.9981,1,0.995,0.87674,0.51291,0.35479,0.81666,0.005149,0.005149,0.005149
51,135.917,0.49868,0.47973,0.88755,0.99798,1,0.995,0.90163,0.47252,0.33264,0.81293,0.00505,0.00505,0.00505
52,137.124,0.49411,0.47443,0.87214,0.99819,1,0.995,0.8888,0.49259,0.34297,0.82113,0.004951,0.004951,0.004951
53,138.103,0.53859,0.45756,0.86805,0.99806,1,0.995,0.89718,0.52464,0.34666,0.82658,0.004852,0.004852,0.004852
54,139.154,0.49298,0.45009,0.88718,0.99804,1,0.995,0.87858,0.52966,0.34317,0.82577,0.004753,0.004753,0.004753
55,140.168,0.49406,0.43406,0.85346,0.99803,1,0.995,0.88459,0.51633,0.33581,0.81892,0.004654,0.004654,0.004654
56,141.354,0.51429,0.4496,0.88326,0.99779,1,0.995,0.89865,0.5097,0.32818,0.81815,0.004555,0.004555,0.004555
57,142.374,0.46676,0.43497,0.86248,0.99765,1,0.995,0.87635,0.52838,0.34348,0.81629,0.004456,0.004456,0.004456
58,143.432,0.48889,0.42969,0.86988,0.99784,1,0.995,0.90754,0.48493,0.34606,0.81004,0.004357,0.004357,0.004357
59,144.618,0.50508,0.43782,0.87838,0.99825,1,0.995,0.91198,0.46715,0.31678,0.8003,0.004258,0.004258,0.004258
60,146.135,0.46068,0.40406,0.87533,0.99825,1,0.995,0.89654,0.49775,0.31192,0.81019,0.004159,0.004159,0.004159
